,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
ECM1,4.04661059954969e-16,-1.19706811012273,0.358,0.408,1.48142367438914e-11,ECM1,down
H2AFJ,1.00450750843038e-15,-0.57835081140226,0.624,0.595,3.67740153761276e-11,H2AFJ,down
DUSP5,1.14414179437757e-15,-0.740418411254833,0.501,0.519,4.18858869503685e-11,DUSP5,down
SLCO4A1,1.41295538510035e-15,-0.389180016552026,0.144,0.223,5.17268836931388e-11,SLCO4A1,down
YPEL5,1.5627508447793e-15,-0.419983315754785,0.748,0.689,5.72107456765256e-11,YPEL5,down
KRT13,1.58993442809327e-15,-0.842298761997164,0.636,0.681,5.82059094780666e-11,KRT13,down
SERINC2,1.96139679220782e-15,-0.711653344679715,0.571,0.565,7.18047751659362e-11,SERINC2,down
TMEM30A,3.73358682050147e-15,-0.6461462426189,0.585,0.559,1.36682879911738e-10,TMEM30A,down
LGALS1,4.2139543728317e-15,0.285406502383486,0.58,0.432,1.54268655634996e-10,LGALS1,up
UBE2B,4.3184855841525e-15,-0.416476735767977,0.791,0.714,1.58095438750239e-10,UBE2B,down
KRT78,5.39034272763368e-15,-0.483543682080735,0.044,0.104,1.97335056915942e-10,KRT78,down
PARM1,7.40626306287454e-15,-0.265333580326136,0.096,0.17,2.71135884468774e-10,PARM1,down
TGM2,7.92776820660007e-15,-0.432778332055828,0.088,0.159,2.90227666275422e-10,TGM2,down
APOBEC3A,8.66381210162838e-15,-1.30831191350306,0.207,0.282,3.17173497228513e-10,APOBEC3A,down
AC025580.2,1.25841997023742e-14,-0.399905068336527,0.131,0.205,4.60694966904217e-10,AC025580.2,down
CXCL14,1.82012015667103e-14,-0.347007061612304,0.392,0.249,6.66327788155696e-10,CXCL14,down
PTTG1IP,2.14796946033111e-14,-0.700742836810428,0.7,0.631,7.86350139732617e-10,PTTG1IP,down
MYO6,2.36314602645984e-14,-0.647016893763971,0.64,0.625,8.65124128826684e-10,MYO6,down
