,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
ABCA13,1.4951441121883e-39,0.984115296116871,0.702,0.296,5.47357308031016e-35,ABCA13,up
AC084816.1,1.84881536580883e-39,0.444796395054856,0.26,0.023,6.76832817268956e-35,AC084816.1,up
GPC3,2.6888112131203e-39,0.26595549619168,0.243,0.018,9.84346897011209e-35,GPC3,up
ACAP2,4.39833956040065e-39,0.966175231328089,0.885,0.7,1.61018812966707e-34,ACAP2,up
IL20RB,9.15388717075061e-39,0.683135935524449,0.591,0.21,3.35114655434009e-34,IL20RB,up
ACSL4,1.01224824977732e-38,-0.995628440557061,0.319,0.71,3.70573961760978e-34,ACSL4,down
ITM2C,1.01323909462396e-38,-0.830278511342947,0.174,0.634,3.70936700150887e-34,ITM2C,down
KIFC1,1.04467361691391e-38,0.37310518986251,0.421,0.085,3.82444564416013e-34,KIFC1,up
IFITM2,2.0105445633806e-38,-1.21416902932925,0.26,0.711,7.36040259208004e-34,IFITM2,down
CFTR,2.32455758708476e-38,-1.22527125035645,0.123,0.593,8.5099728705586e-34,CFTR,down
EZH2,2.57483303860165e-38,0.830526273670026,0.753,0.385,9.42620627101678e-34,EZH2,up
CADM1,2.63638069373759e-38,-0.762264491497171,0.089,0.563,9.65152608170393e-34,CADM1,down
CENPF,3.18964048451317e-38,0.976418885053941,0.455,0.104,1.16769548497542e-33,CENPF,up
CLDN1,3.37703468070744e-38,1.11476632246992,0.847,0.483,1.23629862626019e-33,CLDN1,up
FANCI,4.34603032368861e-38,0.398876183470181,0.502,0.131,1.59103824119916e-33,FANCI,up
SOX7,5.10150257578309e-38,0.578299784097888,0.579,0.189,1.86760907796843e-33,SOX7,up
PLEKHS1,5.37958204386024e-38,-0.966315150301532,0.128,0.593,1.96941119043679e-33,PLEKHS1,down
HLA-DRB1,7.87423605252603e-38,-1.35737966252182,0.528,0.806,2.88267907646925e-33,HLA-DRB1,down
RPL39L,9.26210173041735e-38,0.468479480199142,0.596,0.217,3.39076282248849e-33,RPL39L,up
ZWINT,9.53886504794187e-38,0.359365958104006,0.443,0.096,3.49208310540104e-33,ZWINT,up
WDHD1,1.1965106808172e-37,0.303726427888268,0.464,0.116,4.38030595140367e-33,WDHD1,up
SNRPB,1.54957155481199e-37,0.819304604157112,0.864,0.732,5.67282650501121e-33,SNRPB,up
GPNMB,1.81542430365197e-37,0.551335992286416,0.6,0.19,6.64608683323951e-33,GPNMB,up
ATP1B3,2.03407399182441e-37,0.895343837243566,0.889,0.69,7.44654147667e-33,ATP1B3,up
RARRES1,2.66047337962933e-37,-3.02227305271449,0.191,0.612,9.73972699548503e-33,RARRES1,down
SEMA3B,4.51711127070632e-37,-0.984591850158861,0.145,0.595,1.65366926509288e-32,SEMA3B,down
ABCC5,4.9817585570687e-37,0.584929191099691,0.621,0.24,1.82377199015728e-32,ABCC5,up
FNDC3B,5.47627600659208e-37,-1.15538247244123,0.702,0.875,2.00480988325329e-32,FNDC3B,down
PAX2,5.73654738373722e-37,-0.560864760752297,0.013,0.476,2.10009263171236e-32,PAX2,down
