,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
ECI2,3.66547252664012e-17,-0.435542626398395,0.23,0.507,1.34189283727768e-12,ECI2,down
ZC3H12A,3.69443020306872e-17,0.611969606888217,0.791,0.613,1.35249395304143e-12,ZC3H12A,up
GABRP,3.70680688882621e-17,0.466202664442921,0.34,0.113,1.35702493393039e-12,GABRP,up
ASRGL1,4.01444169866311e-17,-1.35510694908769,0.17,0.419,1.46964696146358e-12,ASRGL1,down
ITGB6,4.30548016302431e-17,0.39985973422443,0.553,0.285,1.57619323288157e-12,ITGB6,up
LINC00551,4.67721009434677e-17,0.502377163834868,0.187,0.034,1.71227984343941e-12,LINC00551,up
MKI67,4.67738630648629e-17,0.482238132293691,0.532,0.225,1.71234435294157e-12,MKI67,up
DOCK4,5.58943480033853e-17,-0.478035542091077,0.157,0.43,2.04623618605593e-12,DOCK4,down
MCM4,5.58955359211013e-17,0.333933906773132,0.626,0.357,2.0462796745356e-12,MCM4,up
EHD4,5.80096802171031e-17,0.300581982614232,0.723,0.455,2.12367638306793e-12,EHD4,up
SMC5,5.91436014717697e-17,0.413343538342716,0.877,0.722,2.16518810628002e-12,SMC5,up
PHGDH,6.43983813934902e-17,0.483215699819544,0.774,0.479,2.35756034443428e-12,PHGDH,up
CMTM8,6.46480397115852e-17,-0.384394714059223,0.077,0.347,2.36670008580142e-12,CMTM8,down
SPRR2A,6.51461573585123e-17,0.793117686485582,0.272,0.074,2.38493567473778e-12,SPRR2A,up
ARNTL2,6.74027238804192e-17,0.400221725570234,0.668,0.394,2.46754631853827e-12,ARNTL2,up
PRSS8,7.19428521765339e-17,0.600114157139694,0.8,0.504,2.63375587533073e-12,PRSS8,up
FGFR3,7.26590175844774e-17,0.290436775671062,0.63,0.325,2.65997397475013e-12,FGFR3,up
TMX4,7.26630415974625e-17,-0.836636365502845,0.498,0.667,2.6601212898415e-12,TMX4,down
CYB5R3,7.37026456773296e-17,-0.430183909845599,0.647,0.751,2.69818015560136e-12,CYB5R3,down
IFITM2,7.87627629208799e-17,-0.93177000068517,0.17,0.426,2.88342598777049e-12,IFITM2,down
AC024230.1,8.29233719170969e-17,-0.970655528053831,0.038,0.296,3.035741722513e-12,AC024230.1,down
SPRY1,8.61043369087138e-17,-0.493738909740238,0.2,0.471,3.1521936698911e-12,SPRY1,down
C2orf88,8.93846798291746e-17,-0.712541330435333,0.128,0.394,3.27228374386625e-12,C2orf88,down
DSC2,9.09091908697854e-17,0.35682918077279,0.855,0.613,3.32809456855197e-12,DSC2,up
RASSF9,9.98451686692529e-17,0.275248061609952,0.438,0.181,3.65523177981268e-12,RASSF9,up
PLK3,1.01953835182054e-16,0.360973026824726,0.677,0.407,3.73242795217983e-12,PLK3,up
TXN,1.07789299190187e-16,0.601172727317828,0.962,0.933,3.94605845405357e-12,TXN,up
MGA,1.1475023535429e-16,0.368361678466856,0.668,0.419,4.2008913660852e-12,MGA,up
ZSCAN18,1.15635329673568e-16,-0.321583765723709,0.145,0.434,4.23329378401964e-12,ZSCAN18,down
ARPC2,1.18409443452547e-16,0.421456622393114,0.962,0.894,4.33485131535431e-12,ARPC2,up
RDH10,1.22217180329486e-16,0.798893650660426,0.66,0.393,4.47424875468216e-12,RDH10,up
HSPA5,1.24387893092395e-16,-0.688981358044894,0.928,0.913,4.55371637821948e-12,HSPA5,down
ARL8B,1.27181813429336e-16,0.371504539869678,0.855,0.62,4.65599900783455e-12,ARL8B,up
ADM,1.35486201094097e-16,0.324288550153856,0.757,0.464,4.9600143358538e-12,ADM,up
ANXA11,1.35552927306255e-16,0.618968253665402,0.923,0.796,4.96245711575468e-12,ANXA11,up
NSUN6,1.3999248755536e-16,0.384205431378713,0.6,0.335,5.12498497691418e-12,NSUN6,up
NCOA3,1.46450863253545e-16,0.414396019047162,0.787,0.573,5.36141965284905e-12,NCOA3,up
CA8,1.58295888404487e-16,-0.712474205618448,0.06,0.316,5.79505417859985e-12,CA8,down
PICALM,1.58710031312688e-16,0.450335408221254,0.8,0.612,5.81021553632621e-12,PICALM,up
PGM2,1.59405532823441e-16,0.285356654592731,0.638,0.37,5.83567715113336e-12,PGM2,up
PAM,1.83584520763454e-16,-1.35933693183919,0.447,0.638,6.7208457206293e-12,PAM,down
MLEC,1.90096213321501e-16,-0.49950258279425,0.681,0.765,6.95923227348685e-12,MLEC,down
MT-ND5,1.91430275030971e-16,-0.612542596668922,0.957,0.957,7.00807093860882e-12,MT-ND5,down
HBEGF,2.00797589926991e-16,0.46931037506428,0.698,0.421,7.35099896963721e-12,HBEGF,up
LIMCH1,2.09694577436752e-16,-0.381974001252393,0.166,0.444,7.67670878538205e-12,LIMCH1,down
POLB,2.17740272488216e-16,0.283792124201449,0.6,0.33,7.9712536355211e-12,POLB,up
NRARP,2.25258618221616e-16,0.536327435697198,0.826,0.613,8.24649275447515e-12,NRARP,up
SAT1,2.38583389860217e-16,0.69631854116227,0.996,0.947,8.73429931939267e-12,SAT1,up
EMX2OS,2.39295838194174e-16,-0.285761490940713,0.004,0.243,8.76038134045052e-12,EMX2OS,down
TRAM1,2.59759555924692e-16,-0.58399346622051,0.643,0.75,9.50953758284704e-12,TRAM1,down
NCALD,2.61262282495003e-16,-0.460907206371362,0.06,0.32,9.56455089985956e-12,NCALD,down
NDRG1,2.6362284112518e-16,0.706847409195605,0.8,0.561,9.65096859075172e-12,NDRG1,up
NONO,2.64603445742689e-16,0.439660961953495,0.881,0.755,9.68686754519412e-12,NONO,up
CD9,2.69357431966113e-16,0.388879665251264,0.979,0.942,9.86090622684745e-12,CD9,up
PKDCC,2.87902940892776e-16,-0.496550376739198,0.004,0.242,1.05398387631437e-11,PKDCC,down
ADAM17,3.01940419720411e-16,0.497860364904196,0.783,0.569,1.10537368255445e-11,ADAM17,up
GNA15,3.11962077633532e-16,0.356607449168667,0.694,0.419,1.1420619700086e-11,GNA15,up
SERPINB3,3.20850630454617e-16,0.585418009747104,0.698,0.411,1.17460207303131e-11,SERPINB3,up
CAMTA1,3.64168079609352e-16,0.369225605966198,0.949,0.8,1.33318292264188e-11,CAMTA1,up
RRM2,3.70218107820164e-16,0.670314804871353,0.468,0.201,1.35533147091884e-11,RRM2,up
CXCL16,3.70265767958428e-16,0.288863238394821,0.736,0.457,1.35550594991901e-11,CXCL16,up
FAM83D,3.85586056618019e-16,0.312079736010993,0.523,0.243,1.4115919946729e-11,FAM83D,up
SPON2,3.94628149501051e-16,0.265450214549925,0.566,0.276,1.4446941925084e-11,SPON2,up
ANKLE2,4.17066706284918e-16,0.312443871754316,0.796,0.576,1.52683950503846e-11,ANKLE2,up
PMF1,4.18470141193906e-16,0.335798000357591,0.757,0.507,1.53197733989677e-11,PMF1,up
UBE2A,4.35644003714727e-16,0.317592806907658,0.834,0.609,1.59484913319924e-11,UBE2A,up
TUBB6,4.47848937736811e-16,0.357414057997188,0.8,0.501,1.63953017616069e-11,TUBB6,up
