,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
PSMA3,7.59532701069616e-36,0.734493777277125,0.883,0.701,2.78057326534576e-31,PSMA3,up
GREB1,7.64444397255759e-36,-0.58429566168071,0.028,0.496,2.79855449391361e-31,GREB1,down
MYC,8.21598724252426e-36,0.682905981716498,0.704,0.32,3.00779076961571e-31,MYC,up
HNRNPF,9.42414926884455e-36,0.611661685402999,0.93,0.862,3.4500868058313e-31,HNRNPF,up
LRIF1,9.96268648101313e-36,0.447317387736051,0.624,0.257,3.6472398938341e-31,LRIF1,up
MAML2,1.00686505475918e-35,-0.923670498022537,0.718,0.918,3.68603227896789e-31,MAML2,down
RAN,1.28930531094662e-35,0.827162979816089,0.915,0.873,4.72001781284447e-31,RAN,up
SGCD,1.59782200637644e-35,-1.29747933956836,0.019,0.481,5.84946658314351e-31,SGCD,down
NRXN3,1.79618579894061e-35,-0.968732487912661,0.056,0.509,6.57565659134167e-31,NRXN3,down
DCDC2,1.91015252990719e-35,-0.989024354757189,0.009,0.472,6.99287739673722e-31,DCDC2,down
SEL1L3,2.04360198450022e-35,-0.696865654447352,0.282,0.644,7.48142250505685e-31,SEL1L3,down
CAMK2G,2.056489195392e-35,0.329255416311591,0.634,0.249,7.52860129541057e-31,CAMK2G,up
TST,2.27197196519005e-35,-0.765787234386216,0.493,0.745,8.31746216736426e-31,TST,down
IMPA2,2.41529902412077e-35,0.472518361444729,0.671,0.311,8.84216819740372e-31,IMPA2,up
RPL32,2.80291959439315e-35,-0.637873923117234,0.986,0.982,1.02612083431139e-30,RPL32,down
MBNL1,2.9806129331623e-35,0.750708252988997,0.915,0.765,1.09117258870139e-30,MBNL1,up
ABI1,3.21399979889457e-35,0.665879246200624,0.892,0.652,1.17661318637731e-30,ABI1,up
A4GALT,3.34164178177695e-35,-0.762033552415512,0.423,0.75,1.22334163989072e-30,A4GALT,down
HOXB6,3.74262562173293e-35,-0.614277387712063,0.225,0.677,1.37013781386021e-30,HOXB6,down
MYH14,3.85042478124349e-35,0.727790199155098,0.84,0.601,1.40960200816543e-30,MYH14,up
NAB1,3.91442204200298e-35,0.487347426205804,0.685,0.314,1.43303076535687e-30,NAB1,up
C15orf41,4.39181658369223e-35,0.370612279085968,0.61,0.231,1.60780013312389e-30,C15orf41,up
STAG1,4.55117577585917e-35,0.913911998564698,0.925,0.798,1.66613993978428e-30,STAG1,up
CLTB,4.56123478526622e-35,0.766081730196886,0.911,0.736,1.66982244253811e-30,CLTB,up
PSMD7,4.66004729941213e-35,0.602880903491743,0.869,0.642,1.70599671584178e-30,PSMD7,up
PDIA6,4.82958131315821e-35,-0.806959531317474,0.859,0.922,1.76806142293409e-30,PDIA6,down
AC024230.1,4.87972993940352e-35,-2.02702335844101,0.08,0.518,1.78642033351623e-30,AC024230.1,down
MLPH,6.00338085499288e-35,-0.698794553179734,0.399,0.722,2.19777769720434e-30,MLPH,down
